,q103_survey_type,q213_no_members,q216_house_pucca_kachha,q217_house_type,q218_house_no_stories,q223_house_no_bedrooms,q224_house_no_toilets,q225_house_no_otherrooms,land_area_sqfeet,q228_plot_use_house_in_percent,q301_grid_yn,q313_grid_billfreq,q610_elec_bill_physical_yn,q610_a_no_billing_days,q610_b_billed_units,q405_a_incadescent_bulb_no,q405_b_cfl_bulb_no,q405_c_led_bulb_no,q405_d_led_tube_light_no,q405_e_cfl_tube_light_no,q409_ceiling_fan_yn,q410_ceiling_fan_no,q415_table_fan_yn,q416_table_fan_no,q421_air_coolers_yn,q422_air_coolers_no,q427_ac_yn,q428_ac_no,q459_tv_yn,q460_tv_no,q466_fridge_yn,q467_fridge_no,q471_mixer_grinder_2_yn,q472_wash_mach_yn,q476_iron_yn,q477_water_pump_yn,q480_water_pump_cap_hp
28,1,3,2,1.0,1.0,1,1,1,,,1,1.0,1.0,31.0,31.0,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,1.0,1.0,0.0,,0.0,0.0,0.0,0.0,
60,1,5,2,1.0,1.0,1,1,1,500.0,90.0,1,1.0,1.0,30.0,17.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,
66,1,4,1,,,2,1,2,450.0,25.0,1,1.0,1.0,30.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,
97,1,5,1,,,1,1,2,2000.0,48.0,1,1.0,1.0,30.0,102.0,0.0,3.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,
162,1,4,2,1.0,2.0,2,1,2,500.0,85.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
169,1,4,2,1.0,1.0,1,1,4,1600.0,100.0,1,1.0,1.0,30.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,
223,1,4,1,,,1,1,2,1000.0,50.0,1,1.0,1.0,30.0,131.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,
268,1,3,2,1.0,1.0,2,1,2,500.0,80.0,1,1.0,0.0,,,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,0.0,1.0,0.0,
369,1,6,2,1.0,1.0,1,1,2,1500.0,75.0,1,1.0,1.0,30.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,,1.0,1.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,
467,1,5,1,,,1,0,3,1500.0,50.0,1,1.0,1.0,30.0,75.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,
600,2,5,2,1.0,1.0,1,1,0,700.0,60.0,1,1.0,0.0,,,0.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,
652,1,2,1,,,1,1,2,1500.0,35.0,1,1.0,1.0,30.0,12.0,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,
706,1,4,2,1.0,1.0,2,1,1,550.0,60.0,1,1.0,1.0,25.0,65.0,2.0,2.0,1.0,0.0,1.0,1.0,2.0,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,0.0,0.0,0.0,
716,1,3,1,,,1,1,1,1000.0,45.0,1,1.0,1.0,30.0,14.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,
756,1,4,1,,,1,1,2,500.0,100.0,1,1.0,1.0,30.0,35.0,0.0,0.0,5.0,0.0,0.0,1.0,1.0,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,0.0,0.0,0.0,
